StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0.00,Q0.01,Q0.2,Q0.0.2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,PROLIFIC_PID,FL_5_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"The researcher requests your consent for participation in a study about working from the office sentiment. This consent form asks you to allow the researcher to record and view your survey results. We will not be collecting personally identifiable information.



Participation in this study is completely voluntary. If you decide not to participate there will not be any negative consequences. Please be aware that if you decide to participate, you may stop participating at any time. Please note: You must be 18 or older to participate in this study.



Do you consent to participating in this survey?",Do you commit to providing thoughtful answers and reading through each prompt carefully?,t-pid,c-pid,What industry do you work in?,What was your work setting before the start of COVID-19?,What was your work setting for the majority of 2021 during the pandemic?,What is your work setting now?,How much do you think working from the office improves work life balance?,How much do you think working from the office improves career growth?,How much do you think working from the office improves in person collaboration?,How important is working from the office?,How important is working from home?,What is your ideal number of days working from the office?,PROLIFIC_PID,FL_5 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID15""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""FL_5_DO""}"
2022-11-23 10:48:47,2022-11-23 10:49:56,IP Address,108.16.238.128,100,68,True,2022-11-23 10:49:56,R_80NYYGIdwuaWYkF,,,,,40.0459,-75.5307,anonymous,EN,"Yes, I consent","Yes, I commit",6100a9190f0346ae722a4db2,,Education,Working from an office,Working from home,Other,A little,A little,A little,Not at all important,Extremely important,1 Day,6100a9190f0346ae722a4db2,TreatmentBlock
2022-11-23 10:49:24,2022-11-23 10:51:02,IP Address,75.168.88.207,100,98,True,2022-11-23 10:51:03,R_3Idr7ZCilkchp0B,,,,,44.8769,-93.2535,anonymous,EN,"Yes, I consent","Yes, I commit",,5f91fe1f5ed1060f5afb58a7,Technology,Other,Working from home,Working from home,None at all,A little,A moderate amount,Slightly important,Moderately important,2 Days,5f91fe1f5ed1060f5afb58a7,ControlBlock
2022-11-23 11:01:01,2022-11-23 11:02:08,IP Address,65.27.154.30,100,67,True,2022-11-23 11:02:09,R_23dFpfLMNQBhaQt,,,,,40.1117,-82.9728,anonymous,EN,"Yes, I consent","Yes, I commit",5c64c8c458987100010e9db7,,Other,Working from an office,Working from home,Working from home,None at all,A moderate amount,A little,Slightly important,Extremely important,1 Day,5c64c8c458987100010e9db7,TreatmentBlock
2022-11-23 11:05:24,2022-11-23 11:06:26,IP Address,76.145.153.132,100,62,True,2022-11-23 11:06:27,R_1LhzshYePTFupT5,,,,,33.8336,-84.3797,anonymous,EN,"Yes, I consent","Yes, I commit",6111b27e123039e968795ea8,,Other,Working from home,Working from home,Working from home,A moderate amount,None at all,A little,Slightly important,Moderately important,2 Days,6111b27e123039e968795ea8,TreatmentBlock
2022-11-23 11:16:21,2022-11-23 11:19:04,IP Address,67.129.0.26,100,162,True,2022-11-23 11:19:04,R_3fVI7DIsucRXyE7,,,,,40.9928,-87.1067,anonymous,EN,"Yes, I consent","Yes, I commit",,5c26b50d1fc74500017cc346,Education,Working from an office,Working from home,Other,A little,A little,A moderate amount,Slightly important,Very important,2 Days,5c26b50d1fc74500017cc346,ControlBlock
2022-11-23 11:21:18,2022-11-23 11:22:19,IP Address,140.82.187.220,100,61,True,2022-11-23 11:22:19,R_2dylqH6Efp7LEO8,,,,,42.3937,-92.4522,anonymous,EN,"Yes, I consent","Yes, I commit",5e9f12398bee3106d8a13131,,Hospitality,Working from home,Working from home,Working from an office,A little,A little,A little,Not at all important,Very important,1 Day,5e9f12398bee3106d8a13131,TreatmentBlock
2022-11-23 11:29:10,2022-11-23 11:32:03,IP Address,68.199.125.216,100,173,True,2022-11-23 11:32:03,R_1LtaZXeg0DJwZvM,,,,,41.1684,-73.8498,anonymous,EN,"Yes, I consent","Yes, I commit",,6288200662bdd110ddecad7a,Healthcare,Working from an office,Working from an office,Working from an office,A little,A lot,A great deal,Very important,Slightly important,4 Days,6288200662bdd110ddecad7a,ControlBlock
2022-11-23 11:33:54,2022-11-23 11:34:32,IP Address,173.68.117.88,100,38,True,2022-11-23 11:34:32,R_yQiNbAMRqPQXe9j,,,,,40.7429,-73.9392,anonymous,EN,"Yes, I consent","Yes, I commit",,60819dd29a63569b48b584ea,Media,Working from home,Working from home,Working from home,A great deal,A moderate amount,A moderate amount,Not at all important,Extremely important,5 Days,60819dd29a63569b48b584ea,ControlBlock
2022-11-23 11:42:45,2022-11-23 11:43:20,IP Address,140.254.35.52,100,34,True,2022-11-23 11:43:20,R_1IWqgOmpbjP3zjS,,,,,40.0181,-83.0117,anonymous,EN,"Yes, I consent","Yes, I commit",,6116876a64aadf8649c181a8,Other,Working from an office,Working from home,Working from home,A little,A moderate amount,A lot,Slightly important,Moderately important,2 Days,6116876a64aadf8649c181a8,ControlBlock
2022-11-23 11:40:06,2022-11-23 11:43:22,IP Address,23.116.109.64,100,196,True,2022-11-23 11:43:23,R_3NVE3VSTLhi0ilG,,,,,41.9032,-87.6383,anonymous,EN,"Yes, I consent","Yes, I commit",6173153923f87c01a847eb5b,,Other,Working from an office,Other,Other,None at all,A lot,A lot,Slightly important,Extremely important,1 Day,6173153923f87c01a847eb5b,TreatmentBlock
2022-11-23 11:44:53,2022-11-23 11:45:59,IP Address,68.47.197.62,100,66,True,2022-11-23 11:46:00,R_2bPh1asYqG3eWQ1,,,,,36.0758,-87.4,anonymous,EN,"Yes, I consent","Yes, I commit",,5dc6e8472865554f0289bb6d,Technology,Working from home,Working from home,Working from home,None at all,A little,A little,Not at all important,Extremely important,1 Day,5dc6e8472865554f0289bb6d,ControlBlock
2022-11-23 11:41:54,2022-11-23 11:46:26,IP Address,67.85.81.251,100,271,True,2022-11-23 11:46:26,R_1HiSNvu3JdZ1YoV,,,,,40.8547,-73.9218,anonymous,EN,"Yes, I consent","Yes, I commit",5e7e0e92b7838b4aca1b6fca,,Other,Working from an office,Working from home,Working from an office,A lot,A lot,A great deal,Moderately important,Slightly important,3 Days,5e7e0e92b7838b4aca1b6fca,TreatmentBlock
2022-11-23 11:46:13,2022-11-23 11:47:29,IP Address,73.19.49.230,100,75,True,2022-11-23 11:47:29,R_3snxQEvaxro4teQ,,,,,47.1291,-122.4094,anonymous,EN,"Yes, I consent","Yes, I commit",5dd773812b033b7177af88f1,,Education,Working from an office,Working from home,Working from home,A little,A moderate amount,A lot,Slightly important,Moderately important,2 Days,5dd773812b033b7177af88f1,TreatmentBlock
2022-11-23 11:46:59,2022-11-23 11:48:17,IP Address,166.216.159.40,100,77,True,2022-11-23 11:48:17,R_2agfvo8HXZWZxCr,,,,,39.9587,-82.9987,anonymous,EN,"Yes, I consent","Yes, I commit",,56db4c217dcddf000bd5853c,Other,Working from home,Working from home,Working from home,A little,A lot,A lot,Moderately important,Extremely important,4 Days,56db4c217dcddf000bd5853c,ControlBlock
2022-11-23 11:49:50,2022-11-23 11:50:20,IP Address,35.140.75.39,100,30,True,2022-11-23 11:50:20,R_3ebmhBc0R4xdoFa,,,,,27.7152,-82.3513,anonymous,EN,"Yes, I consent","Yes, I commit",601c2c63f899976cb35c1269,,Media,Working from home,Working from home,Working from home,A moderate amount,A lot,A lot,Moderately important,Moderately important,3 Days,601c2c63f899976cb35c1269,TreatmentBlock
2022-11-23 11:50:11,2022-11-23 11:50:43,IP Address,73.247.185.1,100,32,True,2022-11-23 11:50:43,R_12tBPjLAkN6D0EV,,,,,41.8907,-87.7908,anonymous,EN,"Yes, I consent","Yes, I commit",,62ead1ef3d160a9d666c0bac,Media,Working from an office,Other,Working from home,A little,A little,A lot,Slightly important,Very important,1 Day,62ead1ef3d160a9d666c0bac,ControlBlock
2022-11-23 11:46:57,2022-11-23 11:51:16,IP Address,98.13.68.244,100,258,True,2022-11-23 11:51:16,R_2zhH1wJ9NSBxNA4,,,,,43.5977,-70.5905,anonymous,EN,"Yes, I consent","Yes, I commit",,62e02dd0f627ebffb011a0f6,Other,Working from home,Working from home,Working from home,None at all,A little,A little,Not at all important,Extremely important,1 Day,62e02dd0f627ebffb011a0f6,ControlBlock
